businessId,name,URL
2327689-4,Jorma H Oy,http://kymppikoura.fi/
1600731-1,MAT-Service Oy,http://mat-service.fi/
2754819-9,Octomeca Oy,http://octomeca.fi/
0219299-0,Painokonehuolto A. Hartikainen Oy,http://painokonehuolto.fi/
0881293-5,PV-Muotti Oy,http://pv-muotti.com/
1569870-4,CNC-Ohjelmointi Järvenpää Oy,http://suomenmetalli.fi/
2845634-1,Tammela Robotics Oy,http://tammelarobotics.com
2440133-5,TerCo Engineering Oy,http://terco.fi/
0415248-2,VTP-hienomekaaninen Konepaja Oy,http://vtp.fi/
0643590-2,Enekos Oy,http://www.enekos.fi/
0790127-4,Helmek Oy,http://www.helmek.fi/
2589532-2,4Maint Oy,https://4maint.wordpress.com/
3183545-7,6DOF Systems Oy,https://6dofsystems.fi
1774821-8,A5 PLATE MEDIA OY,https://a5.fi/
3157344-2,Actioneco Oy,https://actioneco-one.com/
1585099-9,Adwatec Oy,https://adwatec.com/
2018125-9,AESSEAL Flow Oy,https://aesseal.fi/
1908943-9,AESSEAL Finland Oy,https://aesseal.fi/
2841899-4,Afstor Oy,https://afstor.com/
2925148-7,Agalon Oy Ab,https://agalon.fi/
2837662-4,AGRI-Biotech Oy,https://agri-biotech.fi/
0900329-1,Airia Oy,https://airia.fi
3164267-1,AIROAD OY,https://airoad.fi/
1460339-8,AJP-Tekniikka Oy,https://ajp-tekniikka.fi
2554244-7,Akaan Työvälinepalvelu Oy,https://akatools.fi/
1998495-1,All-Weather SnowTek Oy,https://allweathersnowtek.com/
1033383-7,AMADA Automation Europe Oy,https://amada-automation.eu/fi/
0984767-0,Ama-Saw Oy,https://ama-saw.fi/
3187412-2,AMT-Systems Oy,https://amt-systems.com
0216455-1,AP-Konepaja Oy,https://aptela.fi/
0915306-2,Aqua Clean Oy,https://aquaclean.fi
2589215-6,Aquamarine Robots Oy,https://aquamarinerobots.com
2875360-2,AquaPartners Oy,https://aquapartners.fi/
1563364-4,Aquapro Suomi Oy,https://aquaprosuomi.fi
0863574-8,Artekenno Oy,https://artekno.fi/
2659527-6,Artwave Surf Oy,https://artwavesurf.com/
0756595-2,Omaisuushuolto Astex Invest Oy,https://astex.fi/
0983553-0,Auraosa Oy,https://auraosa.fi/
2136742-6,Autorobot Finland Oy,https://autorobot.fi
2790001-7,Avant Wood Oy,https://avantwood.fi
1956337-2,Beneq Group Oy,https://beneqgroup.com/
1651686-1,Oplatek Oy,https://bevenic.fi/
2362683-1,Lebigem Oy,https://bigem.fi
2753388-6,Biocone Oy,https://biocone.fi
1098095-4,Biofire Oy,https://biofire.fi/
3287857-1,Blastjet Oy,https://blastjet.com/
2183219-9,Bluefors Oy,https://bluefors.com/
2929625-5,BOS Nordic Oy,https://bos.com.sg
2357638-7,Cajo Technologies Oy,https://cajo.fi
